SEMBOL,FİYAT,SKOR,GEÇEN ANALİZLER,TAKILDIĞI ANALİZLER,KURUM ALIŞ-SATIŞ ANALİZİ,OLUSTURULMA_ZAMANI
GUBRF,240.0,2,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.72, satış=1.74 | Alışlar: KAMU 1g: +0.06, KAMU 2g: +0.33, KAMU 3g: +0.33 | Satışlar: BOFA 1g: -0.64, BOFA 2g: -0.44, BOFA 3g: -0.44, TERA 1g: -0.02, TERA 2g: -0.10, TERA 3g: -0.10",16.07.2025 22:41
VAKKO,60.7,2,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.64, satış=1.56 | Alışlar: KAMU 1g: +0.16, KAMU 2g: +0.25, KAMU 3g: +0.24 | Satışlar: BOFA 1g: -0.22, BOFA 2g: -0.33, BOFA 3g: -0.34, TERA 1g: -0.03, TERA 2g: -0.32, TERA 3g: -0.32",16.07.2025 22:41
ISGSY,34.48,7,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.41, satış=0.30 | Alışlar: BOFA 1g: +0.12, BOFA 2g: +0.09, BOFA 3g: +0.09, TERA 1g: +0.03, TERA 2g: +0.04, TERA 3g: +0.04 | Satışlar: KAMU 1g: -0.07, KAMU 2g: -0.12, KAMU 3g: -0.12",16.07.2025 22:41
SAMAT,17.54,5,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.30, satış=0.34 | Alışlar: BOFA 1g: +0.39, BOFA 2g: +0.36, BOFA 3g: +0.38, KAMU 2g: +0.09, KAMU 3g: +0.08 | Satışlar: KAMU 1g: -0.13, TERA 1g: -0.03, TERA 2g: -0.08, TERA 3g: -0.09",16.07.2025 22:41
PRDGS,5.74,3,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.93, satış=1.71 | Alışlar: KAMU 1g: +0.54, KAMU 2g: +0.08, KAMU 3g: +0.08, TERA 1g: +0.03, TERA 2g: +0.10, TERA 3g: +0.09 | Satışlar: BOFA 1g: -0.59, BOFA 2g: -0.51, BOFA 3g: -0.61",16.07.2025 22:41
AYEN,24.92,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.07, satış=0.09 | Alışlar: BOFA 1g: +0.02, KAMU 1g: +0.03, KAMU 2g: +0.01, KAMU 3g: +0.01, TERA 2g: +0.00, TERA 3g: +0.00 | Satışlar: BOFA 2g: -0.04, BOFA 3g: -0.04, TERA 1g: -0.00",16.07.2025 22:41
NUHCM,219.1,2,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.02, satış=0.13 | Alışlar: TERA 2g: +0.01, TERA 3g: +0.01 | Satışlar: BOFA 1g: -0.05, BOFA 2g: -0.02, BOFA 3g: -0.02, KAMU 1g: -0.00, KAMU 2g: -0.02, KAMU 3g: -0.02, TERA 1g: -0.00",16.07.2025 22:41
USDTRY,40.2223,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.00, satış=0.00 | Alışlar:  | Satışlar: ",16.07.2025 22:41
ISSEN,7.36,2,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.08, satış=0.45 | Alışlar: TERA 1g: +0.06, TERA 2g: +0.00, TERA 3g: +0.01 | Satışlar: BOFA 1g: -0.09, BOFA 2g: -0.02, BOFA 3g: -0.03, KAMU 1g: -0.03, KAMU 2g: -0.15, KAMU 3g: -0.14",16.07.2025 22:41
CLEBI,1702.0,4,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.43, satış=0.00 | Alışlar: BOFA 1g: +0.09, BOFA 2g: +0.07, BOFA 3g: +0.07, KAMU 1g: +0.05, KAMU 2g: +0.14, KAMU 3g: +0.14, TERA 1g: +0.29, TERA 2g: +0.29, TERA 3g: +0.29 | Satışlar: ",16.07.2025 22:41
MTRKS,19.72,1,Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.07, satış=0.34 | Alışlar: TERA 2g: +0.03, TERA 3g: +0.03 | Satışlar: BOFA 1g: -0.07, BOFA 2g: -0.02, BOFA 3g: -0.03, KAMU 1g: -0.06, KAMU 2g: -0.08, KAMU 3g: -0.08, TERA 1g: -0.00",16.07.2025 22:41
KRTEK,23.52,5,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.21, satış=1.24 | Alışlar: BOFA 1g: +0.07, BOFA 2g: +0.04, BOFA 3g: +0.04, KAMU 1g: +0.65, KAMU 2g: +0.70, KAMU 3g: +0.70 | Satışlar: TERA 1g: -0.19, TERA 2g: -0.52, TERA 3g: -0.52",16.07.2025 22:41
SOKE,10.95,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.53, satış=1.07 | Alışlar: BOFA 1g: +0.14, BOFA 2g: +0.19, BOFA 3g: +0.21, TERA 1g: +0.00 | Satışlar: KAMU 1g: -0.29, KAMU 2g: -0.36, KAMU 3g: -0.35, TERA 2g: -0.03, TERA 3g: -0.03",16.07.2025 22:41
BEGYO,12.5,4,EMA kısa vadede yukarı trend; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=1.81, satış=5.73 | Alışlar: KAMU 1g: +0.27, KAMU 2g: +0.46, KAMU 3g: +0.47, TERA 1g: +0.06, TERA 2g: +0.25, TERA 3g: +0.29 | Satışlar: BOFA 1g: -1.99, BOFA 2g: -1.79, BOFA 3g: -1.95",16.07.2025 22:41
MRSHL,1377.0,4,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.19, satış=0.03 | Alışlar: BOFA 1g: +0.10, BOFA 2g: +0.03, BOFA 3g: +0.03, KAMU 1g: +0.01, KAMU 2g: +0.01, KAMU 3g: +0.01, TERA 2g: +0.00, TERA 3g: +0.00 | Satışlar: TERA 1g: -0.03",16.07.2025 22:41
ADEL,28.22,4,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.61, satış=0.02 | Alışlar: BOFA 1g: +0.01, BOFA 2g: +0.02, BOFA 3g: +0.02, KAMU 1g: +0.06, KAMU 2g: +0.25, KAMU 3g: +0.26 | Satışlar: TERA 1g: -0.01, TERA 2g: -0.01, TERA 3g: -0.01",16.07.2025 22:41
MIATK,31.28,2,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.26, satış=0.43 | Alışlar: KAMU 2g: +0.12, KAMU 3g: +0.12, TERA 1g: +0.01 | Satışlar: BOFA 1g: -0.01, BOFA 2g: -0.17, BOFA 3g: -0.17, KAMU 1g: -0.01, TERA 2g: -0.04, TERA 3g: -0.04",16.07.2025 22:41
GESAN,46.5,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.05, satış=0.37 | Alışlar: BOFA 1g: +0.05, KAMU 1g: +0.37, KAMU 2g: +0.81, KAMU 3g: +0.81 | Satışlar: BOFA 2g: -0.08, BOFA 3g: -0.08, TERA 1g: -0.04, TERA 2g: -0.09, TERA 3g: -0.09",16.07.2025 22:41
OTKAR,450.0,4,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.73, satış=0.12 | Alışlar: BOFA 1g: +0.44, BOFA 2g: +0.63, BOFA 3g: +0.63, KAMU 1g: +0.02, TERA 1g: +0.01, TERA 2g: +0.00, TERA 3g: +0.00 | Satışlar: KAMU 2g: -0.06, KAMU 3g: -0.06",16.07.2025 22:41
BFREN,162.0,1,Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.08, satış=0.20 | Alışlar: BOFA 2g: +0.00, BOFA 3g: +0.00, TERA 1g: +0.03, TERA 2g: +0.02, TERA 3g: +0.02 | Satışlar: BOFA 1g: -0.01, KAMU 1g: -0.04, KAMU 2g: -0.08, KAMU 3g: -0.08",16.07.2025 22:41
YATAS,27.58,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.18, satış=0.34 | Alışlar: KAMU 1g: +0.02, KAMU 2g: +0.02, KAMU 3g: +0.02, TERA 1g: +0.03, TERA 2g: +0.04, TERA 3g: +0.04 | Satışlar: BOFA 1g: -0.09, BOFA 2g: -0.12, BOFA 3g: -0.13",16.07.2025 22:41
BLCYT,17.6,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.71, satış=0.82 | Alışlar: BOFA 1g: +0.11, BOFA 2g: +0.13, BOFA 3g: +0.14, TERA 2g: +0.17, TERA 3g: +0.17 | Satışlar: KAMU 1g: -0.20, KAMU 2g: -0.26, KAMU 3g: -0.26, TERA 1g: -0.09",16.07.2025 22:41
PEHOL,15.01,5,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; MACD pozitif ve histogram artışta; Momentum pozitif,EMA trend; RSI son 3 gün artış (2); OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.31, satış=1.75 | Alışlar: TERA 1g: +0.47, TERA 2g: +0.90, TERA 3g: +0.94 | Satışlar: KAMU 1g: -0.30, KAMU 2g: -0.76, KAMU 3g: -0.69",16.07.2025 22:41
ERSU,14.8,5,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.52, satış=0.15 | Alışlar: BOFA 1g: +0.08, BOFA 2g: +0.10, BOFA 3g: +0.10, KAMU 1g: +0.14, TERA 1g: +0.01, TERA 2g: +0.04, TERA 3g: +0.04 | Satışlar: KAMU 2g: -0.06, KAMU 3g: -0.09",16.07.2025 22:41
TUCLK,9.19,4,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.17, satış=1.23 | Alışlar: TERA 1g: +0.07, TERA 2g: +0.04, TERA 3g: +0.06 | Satışlar: BOFA 1g: -0.06, BOFA 2g: -0.08, BOFA 3g: -0.09, KAMU 1g: -0.26, KAMU 2g: -0.37, KAMU 3g: -0.37",16.07.2025 22:41
GRNYO,8.25,1,Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.03, satış=0.89 | Alışlar: TERA 1g: +0.03 | Satışlar: KAMU 1g: -0.17, KAMU 2g: -0.24, KAMU 3g: -0.24, TERA 2g: -0.12, TERA 3g: -0.12",16.07.2025 22:41
DMSAS,7.02,3,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=1.40, satış=1.18 | Alışlar: BOFA 1g: +0.37, BOFA 2g: +0.24, BOFA 3g: +0.30, TERA 1g: +0.03, TERA 2g: +0.23, TERA 3g: +0.23 | Satışlar: KAMU 1g: -0.52, KAMU 2g: -0.33, KAMU 3g: -0.34",16.07.2025 22:41
DGNMO,6.67,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.01, satış=0.28 | Alışlar: KAMU 1g: +0.01 | Satışlar: BOFA 1g: -0.05, BOFA 2g: -0.01, BOFA 3g: -0.02, KAMU 2g: -0.05, KAMU 3g: -0.08, TERA 1g: -0.01, TERA 2g: -0.03, TERA 3g: -0.03",16.07.2025 22:41
PINSU,6.42,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.37, satış=1.22 | Alışlar: BOFA 1g: +0.13, BOFA 2g: +0.11, BOFA 3g: +0.13 | Satışlar: KAMU 1g: -0.09, KAMU 2g: -0.33, KAMU 3g: -0.33, TERA 1g: -0.17, TERA 2g: -0.13, TERA 3g: -0.16",16.07.2025 22:41
BOSSA,6.1,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.17, satış=0.02 | Alışlar: BOFA 1g: +0.04, KAMU 1g: +0.05, KAMU 2g: +0.00, KAMU 3g: +0.01, TERA 1g: +0.01, TERA 2g: +0.02, TERA 3g: +0.03 | Satışlar: BOFA 2g: -0.01, BOFA 3g: -0.01",16.07.2025 22:41
KOPOL,5.12,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.08, satış=1.10 | Alışlar: BOFA 1g: +0.01, BOFA 2g: +0.04, BOFA 3g: +0.04 | Satışlar: KAMU 1g: -0.37, KAMU 2g: -0.23, KAMU 3g: -0.23, TERA 1g: -0.10, TERA 2g: -0.07, TERA 3g: -0.09",16.07.2025 22:41
CONSE,3.16,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.34, satış=0.26 | Alışlar: BOFA 2g: +0.11, BOFA 3g: +0.11, KAMU 2g: +0.04, KAMU 3g: +0.09 | Satışlar: BOFA 1g: -0.00, KAMU 1g: -0.09, TERA 1g: -0.03, TERA 2g: -0.06, TERA 3g: -0.07",16.07.2025 22:41
AKYHO,2.87,3,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.36, satış=0.48 | Alışlar: BOFA 1g: +0.20, BOFA 3g: +0.01, KAMU 2g: +0.06, TERA 1g: +0.05, TERA 2g: +0.01, TERA 3g: +0.02 | Satışlar: BOFA 2g: -0.06, KAMU 1g: -0.31, KAMU 3g: -0.11",16.07.2025 22:41
KRVGD,2.06,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.46, satış=0.21 | Alışlar: BOFA 2g: +0.18, BOFA 3g: +0.18, KAMU 1g: +0.06, TERA 2g: +0.03 | Satışlar: BOFA 1g: -0.00, KAMU 2g: -0.05, KAMU 3g: -0.04, TERA 1g: -0.10, TERA 3g: -0.02",16.07.2025 22:41
GLDGR,4333.49,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.00, satış=0.00 | Alışlar:  | Satışlar: ",16.07.2025 22:41
XAGUSD,38.41,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.00, satış=0.00 | Alışlar:  | Satışlar: ",16.07.2025 22:41
YGGYO,83.1,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.01, satış=0.02 | Alışlar: BOFA 1g: +0.01, BOFA 3g: +0.00, TERA 2g: +0.00, TERA 3g: +0.00 | Satışlar: BOFA 2g: -0.00, KAMU 1g: -0.01, KAMU 2g: -0.00, KAMU 3g: -0.00, TERA 1g: -0.00",16.07.2025 22:41
RNPOL,29.78,6,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.47, satış=0.18 | Alışlar: BOFA 1g: +0.04, BOFA 2g: +0.09, BOFA 3g: +0.09, KAMU 1g: +0.12, KAMU 2g: +0.06, KAMU 3g: +0.06, TERA 1g: +0.01 | Satışlar: TERA 2g: -0.09, TERA 3g: -0.09",16.07.2025 22:41
FONET,14.72,4,EMA kısa vadede yukarı trend; Momentum pozitif; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.47, satış=0.38 | Alışlar: TERA 1g: +0.10, TERA 2g: +0.18, TERA 3g: +0.18 | Satışlar: BOFA 1g: -0.05, BOFA 2g: -0.11, BOFA 3g: -0.11, KAMU 1g: -0.02, KAMU 2g: -0.05, KAMU 3g: -0.04",16.07.2025 22:41
ONRYT,62.55,4,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.00, satış=1.22 | Alışlar:  | Satışlar: BOFA 1g: -0.24, BOFA 2g: -0.17, BOFA 3g: -0.18, KAMU 1g: -0.05, KAMU 2g: -0.16, KAMU 3g: -0.17, TERA 1g: -0.09, TERA 2g: -0.08, TERA 3g: -0.08",16.07.2025 22:41
EURTRY,46.9154,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.00, satış=0.00 | Alışlar:  | Satışlar: ",16.07.2025 22:41
OZYSR,25.98,5,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.33, satış=1.91 | Alışlar: BOFA 1g: +0.40, BOFA 2g: +0.51, BOFA 3g: +0.52, KAMU 1g: +0.06, KAMU 2g: +0.42, KAMU 3g: +0.42 | Satışlar: TERA 1g: -0.76, TERA 2g: -0.56, TERA 3g: -0.59",16.07.2025 22:41
TMSN,106.1,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=1.17, satış=1.04 | Alışlar: BOFA 1g: +0.06, BOFA 2g: +0.54, BOFA 3g: +0.54, TERA 1g: +0.02 | Satışlar: KAMU 1g: -0.16, KAMU 2g: -0.38, KAMU 3g: -0.38, TERA 2g: -0.06, TERA 3g: -0.06",16.07.2025 22:41
TCELL,92.3,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; MACD pozitif ve histogram artışta; Momentum pozitif; PD/DD makul düzeyde,RSI son 3 gün artış (2); OBV pozitif; Stochastic K < 30; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.34, satış=0.52 | Alışlar: BOFA 1g: +0.02, KAMU 2g: +0.10, KAMU 3g: +0.10, TERA 2g: +0.06, TERA 3g: +0.06 | Satışlar: BOFA 2g: -0.21, BOFA 3g: -0.21, KAMU 1g: -0.02, TERA 1g: -0.07",16.07.2025 22:41
XAUUSD,3351.05,4,Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.00, satış=0.00 | Alışlar:  | Satışlar: ",16.07.2025 22:41
BMSTL,44.22,4,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.75, satış=0.58 | Alışlar: TERA 1g: +0.12, TERA 2g: +0.31, TERA 3g: +0.31 | Satışlar: BOFA 1g: -0.05, BOFA 2g: -0.07, BOFA 3g: -0.07, KAMU 1g: -0.09, KAMU 2g: -0.15, KAMU 3g: -0.15",16.07.2025 22:41
AVAX_USDT_BIN,21.44,2,Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.00, satış=0.00 | Alışlar:  | Satışlar: ",16.07.2025 22:41
